,make,model,trim,type,price,mileage,src,year,image-type
0,AUDI,A3,1.8T Premium Plus,convertible,22200,41822,cdnblob.carvana.io/2000291164/post-large/normalized/cropped/2000291164-edc-02.jpg?v=2019.4.13_19.6.1,2015,original
1,JAGUAR,XK,XKR,convertible,34300,47179,cdnblob.carvana.io/2000287619/post-large/normalized/cropped/2000287619-edc-02.jpg?v=2019.4.11_3.42.6,2011,original
2,MAZDA,MX-5 MIATA RF,Club,convertible,25700,6445,cdnblob.carvana.io/2000282627/post-large/normalized/cropped/2000282627-edc-02.jpg?v=2019.4.8_20.37.53,2017,original
3,BMW,4 SERIES,428i,convertible,32800,17869,cdnblob.carvana.io/2000283685/post-large/normalized/cropped/2000283685-edc-02.jpg?v=2019.4.9_22.28.29,2016,original
4,BMW,Z4,SDrive35i,convertible,32700,29380,cdnblob.carvana.io/2000277443/post-large/normalized/cropped/2000277443-edc-02.jpg?v=2019.4.4_15.59.56,2015,original
5,BUICK,CASCADA,Premium,convertible,21500,32647,cdnblob.carvana.io/2000284559/post-large/normalized/cropped/2000284559-edc-02.jpg?v=2019.4.4_13.33.24,2016,original
6,BMW,4 SERIES,435i,convertible,29000,35593,cdnblob.carvana.io/2000277564/post-large/normalized/cropped/2000277564-edc-02.jpg?v=2019.4.3_18.21.56,2015,original
7,CHEVROLET,CAMARO,SS,convertible,24300,43078,cdnblob.carvana.io/2000272690/post-large/normalized/cropped/2000272690-edc-02.jpg?v=2019.4.3_5.19.9,2014,original
8,MERCEDES-BENZ,SL-CLASS,SL 550,convertible,41600,38293,cdnblob.carvana.io/2000272706/post-large/normalized/cropped/2000272706-edc-02.jpg?v=2019.4.6_6.7.5,2013,original
9,AUDI,A5,Premium Plus,convertible,27900,44486,cdnblob.carvana.io/2000271087/post-large/normalized/cropped/2000271087-edc-02.jpg?v=2019.3.23_3.48.54,2015,original
10,AUDI,A5,Prestige,convertible,36300,8551,cdnblob.carvana.io/2000271895/post-large/normalized/cropped/2000271895-edc-02.jpg?v=2019.3.27_19.21.32,2015,original
11,FORD,MUSTANG,EcoBoost Premium,convertible,22200,33450,cdnblob.carvana.io/2000269972/post-large/normalized/cropped/2000269972-edc-02.jpg?v=2019.3.15_19.31.19,2018,original
12,BMW,2 SERIES,M235i,convertible,31400,30375,cdnblob.carvana.io/2000265493/post-large/normalized/cropped/2000265493-edc-02.jpg?v=2019.3.28_19.0.37,2016,original
13,CHEVROLET,CAMARO,SS,convertible,41300,6064,cdnblob.carvana.io/2000255428/post-large/normalized/cropped/2000255428-edc-02.jpg?v=2019.2.22_15.7.33,2017,original
14,BMW,Z4,SDrive35i,convertible,36700,6271,cdnblob.carvana.io/2000239972/post-large/normalized/cropped/2000239972-edc-02.jpg?v=2019.4.15_15.3.21,2015,original
15,MAZDA,MX-5 MIATA,Club,convertible,22500,4983,cdnblob.carvana.io/2000235809/post-large/normalized/cropped/2000235809-edc-02.jpg?v=2019.1.29_5.45.54,2016,original
16,MAZDA,MX-5 MIATA,Grand Touring,convertible,25900,7621,cdnblob.carvana.io/2000211478/post-large/normalized/cropped/2000211478-edc-02.jpg?v=2019.2.3_1.6.2,2017,original
17,AUDI,A5,Premium Plus,convertible,32100,20643,cdnblob.carvana.io/2000169035/post-large/2000169035-edc-02-search.jpg?v=2018.8.25_11.22.44,2015,original
18,FIAT,124 SPIDER,Classica,convertible,21500,12678,cdnblob.carvana.io/2000251076/post-large/normalized/cropped/2000251076-edc-02.jpg?v=2019.4.1_21.28.26,2017,original
